,RA,DEC,z1,z2,spec_type,GAMA_ID,STELLAR_MASS,max_total_mass,theta_e,Z,max_stellar_mass_salpeter,max_stellar_mass_chabrier
67,217.327,0.86711,0.16,0.452,PG+ELG,106821,10750000128.0,123835616438.35616,0.3547804953737209,0.15970000624656674,85446575342.46574,48295890410.9589
68,215.06083,1.6042299999999998,0.19,0.243,PG+ELG,238715,61440000000.0,435566037735.8491,0.45224823969829797,0.1897999942302704,300540566037.73584,169870754716.98117
69,217.45604,1.52598,0.284,0.379,PG+ELG,239367,105500000256.0,566505263157.8945,0.5196399616634932,0.2840999960899353,390888631578.9472,220937052631.5789
70,214.17046,2.07386,0.5529999999999999,0.386,PG+ELG,250209,124899999744.0,-639095808383.2338,,0.553600013256073,-440976107784.4313,-249247365269.46118
71,214.82401,2.12522,0.304,0.269,PG+ELG,250487,130100002816.0,-1168228571428.57,,0.2689000070095062,-806077714285.7133,-455609142857.14233
72,218.22696,1.97782,0.439,0.466,PG+ELG,251342,165499994112.0,3788407407407.404,0.251680135457848,0.4392000138759613,2614001111111.1084,1477478888888.8875
73,222.14058,1.16504,0.319,0.374,PG+ELG,298899,86270001152.0,1084600000000.0,0.33960446230639146,0.3190999925136566,748374000000.0,422994000000.0
74,214.14233,1.86348,0.266,0.28600000000000003,PG+ELG,319348,43619999744.0,1901899999999.9988,0.1823590312307388,0.2658999860286713,1312310999999.999,741740999999.9995
75,214.38538,1.9114,0.051,0.245,PG+ELG,319416,875900032.0,32203608247.42268,0.1985881316510444,0.050799999386072166,22220489690.72165,12559407216.494846
76,218.13475,1.68924,0.109,0.192,PG+ELG,320384,5746999808.0,126072289156.6265,0.25709229330108874,0.10930000245571136,86989879518.07228,49168192771.084335
77,218.63421,1.7856599999999998,0.274,0.279,PG+ELG,320557,177499996160.0,7644599999999.991,0.18348479339079188,0.27399998903274536,5274773999999.993,2981393999999.9966
78,215.069,2.22422,0.391,0.328,PG+ELG,342308,366099988480.0,-1017841269841.2688,,0.3905999958515167,-702310476190.4755,-396958095238.09485
79,212.48058,-1.61746,0.115,0.411,PG+ELG,460463,31270000640.0,79839527027.02702,0.7535867495232883,0.1152999997138977,55089273648.64864,31137415540.54054
80,213.41046,-1.64736,0.429,0.308,PG+ELG,460713,172699992064.0,-546000000000.0,,0.4293999969959259,-376740000000.0,-212940000000.0
81,217.11896,-1.79492,0.269,0.404,PG+ELG,485756,24689999872.0,402503703703.7036,0.29823175870763025,0.2685999870300293,277727555555.5555,156976444444.44443
82,215.95117,-1.68131,0.202,0.305,PG+ELG,508116,27910000640.0,299077669902.9125,0.3678461502765504,0.2021999955177307,206363592233.00958,116640291262.13586
83,211.95117,0.23064,0.51,0.262,PG+ELG,617535,91690000384.0,-269395161290.3226,,0.5101000070571899,-185882661290.32257,-105064112903.22581
