Name,RA,DEC,Type,mag g,mag r,mag z,Probability,z,Survey
DESI-149.1942+00.7137,149.1942,0.7137,DEV,21.93,20.48,19.35,0.998,,
DESI-150.2022+01.6538,150.2022,1.6538,DEV,18.52,17.2,16.45,0.998,,
DESI-150.4045+02.5544,150.4045,2.5544,DEV,19.56,18.11,17.32,0.991,0.2477,BOSS
DESI-151.2006-03.7158,151.2006,-3.7158,DEV,20,18.64,17.92,0.911,,
DESI-151.7664+02.1430,151.7664,2.143,DEV,20.51,18.84,17.95,0.972,,
DESI-151.9855+02.4052,151.9855,2.4052,DEV,21.9,20.17,18.97,0.943,0.5307,BOSS
DESI-152.5264-01.9658,152.5264,-1.9658,DEV,22.31,20.5,19.43,0.993,,
DESI-152.8042-02.0432,152.8042,-2.0432,DEV,17.72,16.39,15.62,0.965,,
DESI-153.0462-00.8142,153.0462,-0.8142,COMP,20.91,20,18.72,0.983,,
DESI-154.3116+02.4885,154.3116,2.4885,DEV,19.42,17.68,16.73,0.999,0.3576,SDSS
DESI-155.4226+00.6966,155.4226,0.6966,DEV,22.48,20.58,19.12,0.919,0.6186,BOSS
DESI-158.0944+15.8846,158.0944,15.8846,DEV,21.57,20.03,18.45,0.949,,
DESI-158.8311-00.5674,158.8311,-0.5674,DEV,19.48,17.85,16.94,0.992,0.3157,SDSS
DESI-170.8533+15.1850,170.8533,15.185,DEV,19.04,17.36,16.46,0.987,0.3406,BOSS
DESI-176.2181+08.9457,176.2181,8.9457,DEV,21.36,19.55,18.44,0.943,0.4971,BOSS
DESI-180.0490-00.4182,180.049,-0.4182,COMP,23.41,21.54,19.96,0.971,,
DESI-181.9442+27.6152,181.9442,27.6152,COMP,18.56,17.04,16.2,0.995,0.3282,SDSS
DESI-184.3703+15.6730,184.3703,15.673,DEV,21.69,20.21,19.05,0.942,,
DESI-193.6112-08.7744,193.6112,-8.7744,DEV,20.42,18.85,17.94,0.991,,
DESI-201.4063+04.1883,201.4063,4.1883,DEV,20.87,19.5,18.65,0.455,,
DESI-203.3751-02.1804,203.3751,-2.1804,DEV,21.52,20,18.9,0.947,,
DESI-204.7174-08.3381,204.7174,-8.3381,DEV,20.36,18.83,18.03,0.743,,
DESI-205.7370+22.6135,205.737,22.6135,DEV,21.04,19.69,18.63,0.813,0.5198,BOSS
DESI-210.3880+13.3370,210.388,13.337,DEV,20.12,18.83,18.05,0.856,,
DESI-212.6868-07.1025,212.6868,-7.1025,DEV,20.45,19.12,18.34,0.942,,
DESI-240.0759+05.6966,240.0759,5.6966,DEV,21.18,19.44,18.52,0.995,,
DESI-240.3397+05.0773,240.3397,5.0773,DEV,21.87,20.91,19.89,0.981,,
DESI-240.4006+05.5796,240.4006,5.5796,DEV,20.43,18.97,18.21,0.993,,
DESI-240.5350+06.0657,240.535,6.0657,DEV,22.56,20.99,19.66,1,,
DESI-240.7203+06.5371,240.7203,6.5371,COMP,21.62,19.97,18.67,0.997,,
DESI-241.2494+06.8555,241.2494,6.8555,DEV,21.68,20.27,19.36,0.999,,
DESI-241.3833+15.8226,241.3833,15.8226,COMP,19.76,18.27,17.22,0.969,0.5119,BOSS
DESI-241.7841+07.0210,241.7841,7.021,DEV,20.76,20.04,19.41,0.969,,
DESI-241.8463+07.1753,241.8463,7.1753,COMP,21.47,19.49,18.04,1,0.5903,BOSS
