,GAMA_ID,ID,RA,DEC,SCORE
151,165409,3098.0,181.19672,-2.7200900000000003,38.0
152,173045,534.0,185.64713999999998,-2.42117,36.0
153,584826,817.0,180.41615,-0.20731,32.0
154,,,,,
155,98583,2369.0,178.83655,0.8845700000000001,30.0
156,583457,3357.0,174.8049,-0.00257,28.0
157,231281,1822.0,183.06471000000002,1.91352,28.0
158,124486,2553.0,179.73003,-2.51895,28.0
159,186586,1180.0,185.1191,-1.5125,26.0
160,125077,2922.0,182.40587,-2.63013,26.0
161,145278,1551.0,183.83234,-1.41031,24.0
162,561967,1252.0,185.57948000000002,-0.56586,22.0
163,41064,2347.0,184.11784,-0.80592,22.0
164,,,,,
165,,,,,
166,165871,2803.0,183.70247,-2.78789,18.0
167,585328,3234.0,182.36838,-0.00889,18.0
168,164145,2805.0,176.55307,-2.77556,16.0
169,143250,2490.0,174.94516000000002,-1.24299,16.0
170,271500,2496.0,174.51166,1.35002,16.0
171,138582,2828.0,183.14009,-1.827,14.0
172,,,,,
173,84533,2409.0,178.51997,0.60517,14.0
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,6983,1783.0,175.1279,0.7379600000000001,12.0
182,609518,2869.0,175.94742,0.33676,12.0
183,123617,3236.0,176.58762,-2.61663,12.0
184,535401,2579.0,177.58995,-1.01635,12.0
185,583936,1341.0,177.34238,-0.204,12.0
186,,,,,
187,69402,995.0,174.21778999999998,0.09174,12.0
188,586347,2615.0,184.59625,-0.17178,8.0
189,,,,,
190,,,,,
191,396624,3483.0,174.28986,1.59304,8.0
192,,,,,
193,,,,,
194,,,,,
195,220449,1457.0,181.63983000000002,1.4747299999999999,8.0
196,,,,,
197,117089,113.0,177.05358999999999,-2.9371,8.0
198,,,,,
199,,,,,
200,,,,,
201,561058,3349.0,182.5603,-0.4954,8.0
202,84425,2562.0,177.77478,0.42791,8.0
203,165293,2144.0,180.6015,-2.74642,8.0
204,,,,,
205,117332,370.0,177.80586,-2.9669,8.0
206,,,,,
207,178715,2362.0,181.58363,-2.0735200000000003,8.0
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,124620,2249.0,180.11038,-2.68407,8.0
213,535089,1029.0,176.43518,-0.8790899999999999,8.0
214,,,,,
215,290276,486.0,185.39908,1.6684599999999998,8.0
216,131917,1818.0,183.24023,-2.1104700000000003,8.0
217,145203,1939.0,183.3706,-1.3840700000000001,8.0
218,,,,,
219,138014,1421.0,180.4828,-1.8330799999999998,8.0
220,55416,1702.0,181.97096000000002,-0.36712,8.0
221,,,,,
222,56080,1191.0,184.48256999999998,-0.28244,8.0
223,231213,1627.0,182.83478,1.9272,4.0
224,,,,,
