,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z
111,593691,217.50766,-0.12318,0.34843844772447624,23129999360.0,0.10809999704360962
112,569064,217.5027,-0.42398,0.29997415430147556,23759998976.0,0.13539999723434448
113,593642,217.36261,-0.20898,0.21453555970906094,4433999872.0,0.03519999980926514
114,593348,216.21099,-0.14005,0.2961906153004456,9212000256.0,0.10350000113248825
115,568545,215.4957,-0.59009,0.35501297622726263,29980000256.0,0.050999999046325684
116,618223,214.78907,0.35939,0.26144930627646995,6086000128.0,0.13259999454021454
117,618084,214.24037,0.25186,0.2363033089949585,2140999936.0,0.053199999034404755
118,568084,213.94734,-0.60493,0.2477059722865925,97979998208.0,0.12770000100135803
119,544051,213.85437,-0.97348,0.24694962770589288,16819999744.0,0.14569999277591705
120,567904,213.62197,-0.62424,0.25731307209969967,18260000768.0,0.08370000123977661
121,567847,213.38301,-0.42463,0.2804322486070539,1262000000.0,0.07680000364780426
122,485081,213.85695,-1.89934,0.25982724543188523,10590000128.0,0.1371999979019165
123,460645,213.23176,-1.721,0.3070760437523829,35490000896.0,0.11919999867677689
124,93784,222.34209,0.60001,0.24713667672749756,26040000512.0,0.13979999721050262
125,107509,220.57657,0.84006,0.20019460832622643,27029999616.0,0.049800001084804535
126,93803,222.48917,0.55835,0.47771946551038663,88940003328.0,0.039799999445676804
127,545822,221.23193,-0.92393,0.22333960659632962,81830002688.0,0.147599995136261
128,545688,220.57532,-0.8582,0.26158885076007404,83370000384.0,0.1429000049829483
129,594496,220.31807,-0.12858,0.208635867707598,32480000000.0,0.13950000703334808
130,64605,219.53912,-0.25711,0.2754852137945927,91509997568.0,0.10909999907016754
131,594180,219.29534,-0.09763,0.2857142857142857,5545999872.0,0.10450000315904617
132,64432,219.20163,-0.25917,0.28943538394624957,14149999616.0,0.1378999948501587
133,569382,219.03709,-0.42731,0.20007729261551097,2924999936.0,0.1062999963760376
134,64304,218.93263,-0.38782,0.281277538776015,51249999872.0,0.10450000315904617
135,69986,177.84434,0.11732,0.2612008848339674,81190002688.0,0.04729999974370003
136,31525,180.04345,-1.10169,0.2654331076236218,6673999872.0,0.04699999839067459
137,39966,179.04945,-0.663,0.2092878842494486,37600002048.0,0.10480000078678131
138,71028,182.83827,0.05214,0.21641602358941026,24399998976.0,0.07829999923706055
139,543715,212.5512,-0.87359,0.20901442808650258,286700000.0,0.025299999862909317
140,592944,214.83871,-0.20558,0.23131078905082872,49180000256.0,0.12080000340938568
141,278121,212.98102,1.11065,0.2028204722460807,38340001792.0,0.09459999948740005
142,106630,216.75707,0.91026,0.23712365605914135,57009999872.0,0.12389999628067017
143,93310,219.92276,0.50731,0.575139057325562,30940000256.0,0.13770000636577606
144,546040,222.67732,-0.87582,0.2125226684203236,65649999872.0,0.026599999517202377
145,49252,220.38711,-0.71215,0.3162465575023383,77520003072.0,0.14749999344348907
146,136604,175.87349,-1.74167,0.31645069407057624,286600003584.0,0.10599999874830246
147,179174,183.62428,-1.91705,0.2350282993466733,12240000000.0,0.10119999945163727
148,250332,214.55497,2.11409,0.21111610036526693,45539999744.0,0.05270000174641609
149,209185,132.18426,0.16849,0.20130117496634045,49239998464.0,0.051600001752376556
150,345754,131.11854,2.06396,0.22630338463542646,20860000256.0,0.02539999969303608
151,300880,131.19021,1.06295,0.24490815698908086,41879998464.0,0.10660000145435333
