,Unnamed: 0,RA,DEC,z1,z2,spec_type,GAMA_ID,STELLAR_MASS,Z
75,75,214.38537999999997,1.9114,0.051,0.245,PG+ELG,319416,875900032.0,0.05079999938607216
76,76,218.13475,1.68924,0.109,0.192,PG+ELG,320384,5746999808.0,0.10930000245571136
77,77,218.63421,1.7856599999999998,0.27399999999999997,0.27899999999999997,PG+ELG,320557,177499996160.0,0.27399998903274536
78,78,215.06900000000002,2.22422,0.391,0.32799999999999996,PG+ELG,342308,366099988480.0,0.3905999958515167
79,79,212.48057999999997,-1.6174600000000001,0.115,0.41100000000000003,PG+ELG,460463,31270000640.0,0.1152999997138977
80,80,213.41046,-1.64736,0.429,0.308,PG+ELG,460713,172699992064.0,0.4293999969959259
81,81,217.11896000000002,-1.79492,0.26899999999999996,0.40399999999999997,PG+ELG,485756,24689999872.0,0.2685999870300293
82,82,215.95117000000002,-1.6813099999999999,0.20199999999999999,0.305,PG+ELG,508116,27910000640.0,0.2021999955177307
83,83,211.95117000000002,0.23064,0.51,0.262,PG+ELG,617535,91690000384.0,0.5101000070571899
84,84,213.49346,0.35214,0.231,0.262,PG+ELG,617856,85360001024.0,0.23149999976158142
