,Unnamed: 0,RA,DEC,z1,z2,spec_type,GAMA_ID,STELLAR_MASS,max_total_mass,theta_e,Z,max_stellar_mass_salpeter,max_stellar_mass_chabrier,Dz
35,35,178.05237,1.05246,0.28300000000000003,0.157,PG+ELG,22559,,-176313492063.49207,,,-121656309523.80952,-68762261904.7619,0.12600000000000003
36,36,182.90017,0.17959,0.255,0.122,PG+ELG,71072,1494000000.0,-116954887218.0451,,0.12189999967813492,-80698872180.45111,-45612406015.03759,0.133
37,37,177.78321,0.9194899999999999,0.4,0.569,PG+ELG,98399,,673372781065.089,,,464627218934.9114,262615384615.3847,0.16899999999999993
39,39,183.13442,1.00244,0.214,0.7440000000000001,PG+ELG,99508,51619999744.0,150203773584.90564,0.7059059840189912,0.2143000066280365,103640603773.58487,58579471698.11321,0.5300000000000001
41,41,182.36783,-2.2404599999999997,0.63,0.179,PG+ELG,131725,139699994624.0,-125022172949.0022,,0.6298999786376953,-86265299334.81151,-48758647450.110855,0.451
42,42,176.05286999999996,-1.7745900000000001,0.264,0.589,PG+ELG,136800,86619996160.0,239224615384.61545,0.7245768157323821,0.26420000195503235,165064984615.38464,93297600000.00003,0.32499999999999996
47,47,182.16688,1.9984,0.16,0.6890000000000001,PG+ELG,231043,,104196597353.49716,,,71895652173.91304,40636672967.863884,0.529
50,50,185.65375,1.33724,0.217,0.415,PG+ELG,273903,,227411616161.6161,,,156914015151.51514,88690530303.0303,0.19799999999999998
51,51,181.64301,1.7412299999999998,0.294,0.701,PG+ELG,289278,,253186732186.7321,,,174698845208.84515,98742825552.82556,0.407
53,53,180.41128999999998,-0.48253999999999997,0.165,0.5429999999999999,PG+ELG,560475,,118511904761.9048,,,81773214285.71431,46219642857.14288,0.3779999999999999
54,54,181.98808,-0.52788,0.22399999999999998,0.682,PG+ELG,560853,,166777292576.4192,,,115076331877.72925,65043144104.80349,0.4580000000000001
55,55,175.01863,-0.14991,0.314,0.747,PG+ELG,583469,143799992320.0,270852193995.3811,0.8773876938414248,0.31439998745918274,186888013856.81296,105632355658.19864,0.433
56,56,184.62887,-0.18264,0.456,0.307,PG+ELG,586392,,-469771812080.5369,,,-324142550335.57043,-183211006711.4094,0.14900000000000002
57,57,185.72429,-0.20906,0.6970000000000001,0.287,PG+ELG,586648,,-243949999999.99994,,,-168325499999.99994,-95140499999.99997,0.4100000000000001
61,61,213.6345,0.74998,0.273,0.528,PG+ELG,14983,103499997184.0,282635294117.6471,0.7286773302834573,0.2727999985218048,195018352941.17648,110227764705.88237,0.255
65,65,222.49875,-0.40713,0.253,0.649,PG+ELG,65298,90939998208.0,207319444444.4445,0.7975092678817675,0.25270000100135803,143050416666.66666,80854583333.33334,0.396
66,66,215.20808,0.17706,0.316,0.62,PG+ELG,77892,61110001664.0,322236842105.2632,0.5243808673902559,0.3158999979496002,222343421052.6316,125672368421.05264,0.304
67,67,217.327,0.86711,0.16,0.452,PG+ELG,106821,10750000128.0,123835616438.35616,0.3547804953737209,0.15970000624656674,85446575342.46574,48295890410.9589,0.29200000000000004
70,70,214.17046000000002,2.07386,0.5529999999999999,0.386,PG+ELG,250209,124899999744.0,-639095808383.2338,,0.553600013256073,-440976107784.4313,-249247365269.4612,0.16699999999999993
75,75,214.38537999999997,1.9114,0.051,0.245,PG+ELG,319416,875900032.0,32203608247.42268,0.1985881316510444,0.050799999386072166,22220489690.72165,12559407216.494844,0.194
79,79,212.48057999999997,-1.6174600000000001,0.115,0.41100000000000003,PG+ELG,460463,31270000640.0,79839527027.02702,0.7535867495232883,0.1152999997138977,55089273648.648636,31137415540.54054,0.29600000000000004
80,80,213.41046,-1.64736,0.429,0.308,PG+ELG,460713,172699992064.0,-546000000000.0,,0.4293999969959259,-376740000000.0,-212940000000.0,0.121
81,81,217.11896000000002,-1.79492,0.26899999999999996,0.40399999999999997,PG+ELG,485756,24689999872.0,402503703703.7036,0.29823175870763025,0.2685999870300293,277727555555.5555,156976444444.44446,0.135
82,82,215.95117000000002,-1.6813099999999999,0.20199999999999999,0.305,PG+ELG,508116,27910000640.0,299077669902.9125,0.3678461502765504,0.2021999955177307,206363592233.0096,116640291262.13585,0.10300000000000001
83,83,211.95117000000002,0.23064,0.51,0.262,PG+ELG,617535,91690000384.0,-269395161290.3226,,0.5101000070571899,-185882661290.32254,-105064112903.2258,0.248
