,Unnamed: 0,Unnamed: 0.1,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z,TOTAL_MASS,theta_e,f_dm,theta_e_H0_slide,theta_e_Ang_slide
13,3071,3071,271537,174.59803,1.35433,0.30673445910173675,58219999232.0,0.11169999837875366,149282049312.8205,1.1563253383999723,0.5094593853986024,1.0310384475013157,1.0270220639139807
14,4403,4403,40666,182.46693,-0.78528,0.36015843752091425,10389999616.0,0.10670000314712524,26641024656.41025,0.4997997996954268,0.4121600190958132,0.40709786147398325,0.4056552483556605
15,4670,4670,55245,181.07958,-0.31553000000000003,0.3140544819767729,127400001536.0,0.09359999746084212,326666670605.1282,1.8686042240068208,0.5536720263206033,1.7467171170821227,1.7419928477047062
16,4996,4996,560204,179.65787,-0.48421,0.3801848922936733,8501000192.0,0.0843999981880188,21797436389.743587,0.5083166349221528,0.4008311033782166,0.4101021023107149,0.4092055585905313
17,5098,5098,70282,179.40308000000005,0.12562,0.6553523393711983,42560000000.0,0.10740000009536743,109128205128.20512,1.00825224309489,0.49177021050730896,0.8832251796126688,0.8800527678211247
18,5278,5278,144068,178.83194,-1.40894,0.3304107140301229,23759998976.0,0.1446000039577484,60923074297.4359,0.6492464512510759,0.4588600342869713,0.5511719189754385,0.5475034992123555
19,5698,5698,185451,180.28326,-1.61006,0.30298456848615074,82219999232.0,0.1079000011086464,210820510851.28204,1.3981331650837734,0.5289470708903979,1.2721724517014334,1.2675589351586731
20,5772,5772,124486,179.72998,-2.51919,0.4261904774492165,85409996800.0,0.14350000023841858,218999991794.8718,1.2356598344239806,0.5310961317273751,1.1269102413216392,1.119528185463088
21,6339,6339,289994,184.23553,1.85313,0.3326065927802746,18480001024.0,0.11379999667406082,47384618010.25641,0.6454318592908709,0.4446712588233557,0.5408883493033155,0.5386985666855048
22,6503,6503,32675,185.70777,-1.1103,0.5271650742338682,12160000000.0,0.1459999978542328,31179487179.487183,0.4622329395699144,0.4210413647417731,0.37937562722319956,0.3767994567793319
23,7579,7579,491505,212.1493,-1.51127,0.4296963224628938,1643000064.0,0.07609999924898148,4212820676.923077,0.2353406735264873,0.3080328854457851,0.17667966531728838,0.17636735325530875
24,7622,7622,543556,211.99696,-0.99252,0.5697293031713155,4737999872.0,0.08709999918937683,12148717620.512821,0.37355880285403614,0.3678273558050216,0.2934089985327863,0.2927246726723646
25,7874,7874,106562,216.62566,0.84498,0.3638761719314727,89850003456.0,0.12680000066757202,230384624246.15384,1.3482485107939917,0.5339573527594664,1.2333587593246442,1.2271111446918697
26,8137,8137,593852,218.0782,-0.03958,0.386318244376966,225100005376.0,0.13079999387264252,577179500964.1025,2.10113723428067,0.5858088156984449,2.0388547951816065,2.027839207174279
27,8254,8254,593691,217.50766,-0.12318,0.34843844772447624,23129999360.0,0.10809999704360962,59307690666.66665,0.7408759505336228,0.4573428306979972,0.62808009266654,0.625793635842721
28,8555,8555,568545,215.4957,-0.59009,0.35501297622726263,29980000256.0,0.050999999046325684,76871795528.20512,1.2280081813853023,0.47198811218869263,1.0553869347751237,1.0545632491479482
29,9151,9151,460645,213.23176,-1.721,0.3070760437523829,35490000896.0,0.11919999867677687,91000002297.4359,0.8739476279828734,0.48151378134056383,0.7579649141513989,0.754587180798279
