,Unnamed: 0,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z
27307,27307,492150,215.09129,-1.47211,0.3311687097769551,56179998720.0,0.1379999965429306
27886,27886,16199,217.85542,0.70541,0.32974718994102936,18019999744.0,0.12449999898672105
29489,29489,299118,223.34617000000003,1.1418700000000002,0.5596147363753493,12910000128.0,0.1459999978542328
29622,29622,229499,223.08137000000002,1.0355,0.4521817880625982,162000000.0,0.045000001788139336
29880,29880,570151,222.24417000000003,-0.54052,0.3708727501207729,4784999936.0,0.1396999955177307
30903,30903,594681,221.11007999999998,-0.058679999999999996,0.41181676491276376,4088000000.0,0.1460999995470047
32341,32341,543671,212.42117000000002,-0.89741,0.405675659769126,12280000512.0,0.14079999923706055
34352,34352,267558,222.88792,2.70549,0.3347399440502627,864099968.0,0.13580000400543213
34920,34920,267303,221.5345,2.68138,0.3225447975461271,853800000.0,0.10620000213384627
35124,35124,363983,222.27717,2.43775,0.4000092337399169,22499999744.0,0.1444000005722046
35165,35165,342161,214.4815,2.29663,0.390170324857976,5738999808.0,0.12849999964237213
35418,35418,250110,213.99587000000002,2.1623900000000003,0.33207174065885603,333200000.0,0.08460000157356262
35697,35697,342874,217.70954,2.18624,0.31742632415215416,5501000192.0,0.1404000073671341
37678,37678,771379,219.9235,0.50872,0.3580177230809917,1792999936.0,0.13699999451637268
