,GAMA_ID,lambdar_log_mstar,z
1556,14997,8.316133,0.03868
1562,15007,9.938653,0.11807
1563,15008,10.515391,0.07722
1564,15009,10.215558,0.11833
1565,15010,10.492899,0.12525
1566,15011,10.856203,0.12527
1567,15012,10.1330595,0.12601
1575,15020,1.5662977,9e-05
1577,15022,9.512972,0.10682
1578,15023,9.878095,0.11816
1589,15034,11.53559,0.12539
1590,15035,9.954452,0.12611
1591,15036,10.889387,0.12423
1594,15039,10.9009495,0.14433
1595,15040,10.637602,0.12565
1597,15042,9.22778,0.10587
1600,15045,10.708308,0.14973
1606,15051,9.392079,0.14946
1607,15052,9.797944,0.12505
1612,15057,10.042687,0.12495
1615,15062,9.95799,0.0771
1619,15066,10.663776,0.1242
1621,15068,11.248859,0.12439
1622,15069,8.789452,0.12384
1624,15071,9.917653,0.12521
1630,15077,10.135346,0.12384
1646,15093,9.442868,0.12417
1647,15094,9.62755,0.11372
1652,15103,10.268629,0.05329
1658,15109,10.517116,0.12543
1659,15110,9.729222,0.12354
1660,15111,10.506596,0.12581
1664,15116,10.191591,0.12343
1682,15134,10.264233,0.14169
1687,15139,9.731921,0.12467
1688,15140,8.805476,0.0672
1691,15143,9.58362,0.12654
1700,15154,10.627382,0.07741
1703,15157,9.523913,0.11477
1705,15159,9.459214,0.05051
1706,15160,10.904883,0.07768
1707,15161,9.80362,0.08404
1708,15162,9.946006,0.05037
1709,15163,9.341464,0.05014
1710,15164,8.732212,0.04053
1711,15165,11.426677,0.07753
1712,15166,6.789888,0.07707
1719,15173,9.259546,0.05067
1721,15175,8.800308,0.05334
1723,15177,10.361354,0.13055
1727,15182,9.826309,0.11577
1732,15187,10.171189,0.05289
1733,15188,8.84927,0.09995
1734,15189,10.199766,0.11372
1735,15190,10.3008585,0.06629
1736,15191,9.280029,0.05328
1738,15193,9.810249,0.11306
1739,15194,11.046659,0.11324
1743,15198,10.07746,0.11806
1750,15205,7.4177623,0.02569
1752,15207,10.0721655,0.11537
1758,15214,10.853561,0.11803
1759,15215,10.651532,0.11851
1760,15216,7.999204,0.04111
1762,15218,9.24778,0.02562
1763,15219,9.551722,0.07722
1764,15220,9.191735,0.02545
1767,15223,10.614724,0.1187
1768,15224,9.37142,0.0782
1772,15229,10.165646,0.11568
1791,15248,8.199252,0.02569
1792,15249,9.593613,0.1183
1794,15251,10.635573,0.14296
1800,15257,10.532311,0.13803
1804,15262,9.75225,0.13075
1805,15263,10.185862,0.12643
1806,15264,10.658075,0.13915
1808,15266,10.28702,0.11802
1809,15267,10.714856,0.11285
1810,15268,-0.3855622,9e-05
1820,15279,10.525719,0.11864
1824,15283,9.687832,0.11793
1825,15285,10.895976,0.12948
1828,15290,0.45780343,0.00024
1842,15305,9.608277,0.11298
1845,15308,10.699021,0.12601
1846,15309,10.0034485,0.07775
1849,15312,10.868551,0.12734
1850,15313,9.843809,0.10447
1851,15314,10.29538,0.10271
1853,15316,11.081831,0.12687
