,ID,score,P1,P3,RA,DEC,DISC
196,2396.0,8.0,,0.97,182.93143,1.16289,0.0
197,113.0,8.0,,0.973,177.05358999999999,-2.9371,0.0
198,1111.0,8.0,0.945,0.9740000000000001,183.51273999999998,0.26726,0.0
199,2420.0,8.0,,0.976,184.08806,-0.2478,0.0
200,583.0,8.0,0.956,0.9790000000000001,183.56996,0.27810999999999997,0.0
201,3349.0,8.0,,0.98,182.5603,-0.4954,0.0
202,2562.0,8.0,0.89,0.981,177.77478,0.42791,0.0
203,2144.0,8.0,0.9940000000000001,0.99,180.6015,-2.74642,0.0
204,2128.0,8.0,0.8059999999999999,0.992,184.10063,-0.15202000000000002,0.0
205,370.0,8.0,0.846,,177.80586,-2.9669,0.0
206,2561.0,8.0,0.852,,182.48819,-2.65093,0.0
207,2362.0,8.0,0.86,,181.58363,-2.0735200000000003,0.0
208,2526.0,8.0,0.946,,185.83491999999998,-2.23786,0.0
209,270.0,8.0,0.9209999999999999,,181.02388,-0.45121000000000006,0.0
210,1737.0,8.0,0.9890000000000001,,185.53351,-2.1919,0.0
211,1376.0,8.0,0.912,,175.89197,-0.08297,0.0
212,2249.0,8.0,0.8220000000000001,,180.11038,-2.68407,0.0
213,1029.0,8.0,0.9359999999999999,,176.43518,-0.8790899999999999,0.0
214,671.0,8.0,0.9570000000000001,,184.68452,-0.25683,0.0
215,486.0,8.0,0.8370000000000001,,185.39908,1.6684599999999998,0.0
216,1818.0,8.0,0.88,,183.24023,-2.1104700000000003,0.0
217,1939.0,8.0,0.843,,183.3706,-1.3840700000000001,0.0
218,2.0,8.0,0.9420000000000001,,183.57155,1.13514,0.0
219,1421.0,8.0,0.9159999999999999,,180.4828,-1.8330799999999998,0.0
220,1702.0,8.0,0.898,,181.97096000000002,-0.36712,0.0
221,3422.0,8.0,0.88,,177.58234,1.6796,0.0
222,1191.0,8.0,0.872,,184.48256999999998,-0.28244,0.0
223,1627.0,4.0,,0.8079999999999999,182.83478,1.9272,0.0
224,2217.0,4.0,,0.809,178.11661999999998,1.4271,0.0
225,2212.0,4.0,0.8190000000000001,0.81,178.16974,-1.31916,0.0
226,2507.0,4.0,,0.812,176.11624,-0.61902,0.0
227,2816.0,4.0,0.9590000000000001,0.8140000000000001,183.69348,1.97185,0.0
228,2112.0,4.0,0.985,0.82,185.59486,1.09322,0.0
229,649.0,4.0,0.8029999999999999,0.82,185.93364,-1.9619400000000002,0.0
230,1891.0,4.0,0.92,0.828,181.49326000000002,-0.28503,0.0
231,865.0,4.0,0.856,0.8420000000000001,176.55864,0.07481,0.0
232,22.0,4.0,,0.843,184.12447,0.35697,0.0
233,2716.0,4.0,,0.8440000000000001,181.15059,-0.31026,0.0
234,3368.0,4.0,,0.851,183.55873,-0.26605999999999996,0.0
235,155.0,4.0,,0.857,174.15141,-2.71129,0.0
236,938.0,4.0,,0.858,181.64168,-2.85065,0.0
237,201.0,4.0,,0.866,184.7359,0.14865,0.0
238,2624.0,4.0,,0.888,180.51567,-0.6937399999999999,0.0
239,234.0,4.0,,0.8959999999999999,177.47238000000002,-1.03775,0.0
240,2565.0,4.0,,0.9009999999999999,182.74438,1.19287,0.0
241,1645.0,4.0,0.8290000000000001,0.902,182.54744,-2.32485,0.0
242,1375.0,4.0,,0.902,185.47041000000002,-1.14149,0.0
243,1385.0,4.0,,0.907,183.94475,1.56654,0.0
244,2541.0,4.0,,0.912,179.41953,1.42309,0.0
245,29.0,4.0,,0.915,176.43259,-1.9811,0.0
246,1590.0,4.0,,0.919,184.63742,-0.23206999999999997,0.0
247,656.0,4.0,,0.924,177.24017,0.47938000000000003,0.0
248,1595.0,4.0,,0.9259999999999999,176.87413,1.38795,0.0
249,821.0,4.0,,0.9359999999999999,180.74143999999998,-1.0709600000000001,0.0
250,387.0,4.0,0.893,0.9420000000000001,180.35544,1.5083,0.0
251,2662.0,4.0,0.831,0.9440000000000001,182.96048000000002,1.33664,0.0
252,2059.0,4.0,,0.948,180.13943,-2.4365099999999997,0.0
253,3329.0,4.0,0.9059999999999999,0.95,174.21927,-1.39193,0.0
254,360.0,4.0,,0.951,181.86588999999998,1.12248,0.0
255,516.0,4.0,,0.9590000000000001,174.53204,1.30009,0.0
256,1517.0,4.0,0.855,0.96,184.42766,0.33915,0.0
257,1985.0,4.0,0.9670000000000001,0.961,178.4246,-2.30788,0.0
258,2959.0,4.0,,0.968,180.96903999999998,-2.33874,0.0
259,2999.0,4.0,0.825,0.981,183.61463999999998,0.87977,0.0
260,1701.0,4.0,,0.982,185.72519,-1.2859200000000002,0.0
261,1071.0,4.0,,0.988,176.75488,-1.90165,0.0
262,1378.0,4.0,,0.99,176.6528,1.15741,0.0
263,3445.0,4.0,0.8190000000000001,,177.01358000000002,-2.5784700000000003,0.0
264,3342.0,4.0,0.831,,181.42248999999998,-2.19367,0.0
265,1706.0,4.0,0.991,,181.0885,-0.57195,0.0
266,2371.0,4.0,0.937,,185.57744,-2.15168,0.0
267,391.0,4.0,0.8029999999999999,,184.38145,-2.88815,0.0
268,3378.0,4.0,0.81,,184.10762,-2.84039,0.0
269,752.0,4.0,0.968,,181.28586,1.28264,0.0
270,3248.0,4.0,0.943,,176.5545,-2.17778,0.0
271,2603.0,4.0,0.826,,177.05278,0.5524899999999999,0.0
272,2818.0,4.0,0.858,,174.80168,0.03706,0.0
273,2529.0,4.0,0.91,,179.20996,1.6205100000000001,0.0
274,3312.0,4.0,0.917,,185.03133,1.14394,0.0
275,1357.0,4.0,0.8440000000000001,,185.47202,1.74911,0.0
276,1162.0,4.0,0.8170000000000001,,183.33772,-2.7301599999999997,0.0
277,2443.0,4.0,0.938,,183.98729,-2.01746,0.0
278,1618.0,4.0,0.937,,182.74348,1.59789,0.0
279,1154.0,4.0,0.8270000000000001,,176.66692,-0.11009000000000001,0.0
280,2960.0,4.0,0.81,,176.69817,0.02717,0.0
281,3189.0,4.0,0.897,,182.97241,-1.49217,0.0
282,2305.0,4.0,0.838,,183.26285,-1.34695,0.0
283,1060.0,4.0,0.8809999999999999,,184.6443,0.3642,0.0
284,2551.0,4.0,0.826,,174.722,1.75657,0.0
285,2072.0,4.0,0.8590000000000001,,175.55986000000001,0.73851,0.0
286,2732.0,4.0,0.831,,180.28998,-1.16549,0.0
287,610.0,4.0,0.894,,179.70218,-1.1041299999999998,0.0
288,2775.0,4.0,0.924,,180.45076,1.1349,0.0
289,2397.0,4.0,0.862,,179.90819,1.19835,0.0
290,2436.0,4.0,0.953,,179.70958000000002,1.9946099999999998,0.0
291,3156.0,4.0,0.804,,175.45695,-0.9544100000000001,0.0
292,700.0,4.0,0.8079999999999999,,183.60608,-1.23584,0.0
293,375.0,4.0,0.953,,174.51164,1.35002,0.0
294,2708.0,4.0,0.985,,180.85538,-1.56182,0.0
295,1145.0,4.0,0.856,,180.87231,-1.50094,0.0
296,3464.0,4.0,0.943,,175.45578,-1.9713599999999998,0.0
297,1689.0,4.0,0.82,,177.28355,-1.3395,0.0
298,2151.0,4.0,0.9359999999999999,,177.75545,-2.10927,2.0
299,51.0,64.0,0.9890000000000001,0.9,178.21776,0.79257,1.0
300,1642.0,58.0,0.9990000000000001,,175.87355,-1.74164,1.0
301,593.0,14.0,0.8340000000000001,,185.20137,0.36279,2.0
302,2250.0,4.0,0.997,,176.70961,-1.43842,2.0
303,704.0,58.0,0.937,0.9590000000000001,221.51453999999998,-0.6712899999999999,0.0
304,1258.0,42.0,,0.94,216.7776,0.7208,0.0
305,105.0,36.0,,0.975,215.70692000000003,-0.55323,0.0
306,315.0,32.0,,0.8,220.63545,0.29188000000000003,0.0
307,2664.0,28.0,1.0,0.9179999999999999,214.82709,-0.42031,0.0
308,1690.0,26.0,,0.888,218.5273,-0.4848,0.0
309,1741.0,26.0,0.993,0.966,220.62912000000003,-0.39809,0.0
310,3102.0,26.0,0.8029999999999999,,213.5874,-1.61279,0.0
311,1630.0,22.0,0.982,0.934,212.6116,2.14905,0.0
312,2465.0,22.0,0.991,0.938,222.77661,1.19268,0.0
313,987.0,20.0,0.843,,219.88698,0.8993899999999999,0.0
314,2098.0,18.0,0.9359999999999999,0.889,217.90807,0.4978,0.0
315,416.0,18.0,0.968,,216.96487000000002,0.48495,0.0
316,3212.0,18.0,0.988,,214.42336,-0.8924700000000001,0.0
317,1271.0,16.0,0.945,0.858,215.63468999999998,0.026330000000000003,0.0
