,GAMA_ID,RA,DEC,LENS_SCORE
63,55245,181.07958,-0.31553,0.3140544819767729
64,40334,180.65499,-0.70472,0.24028753171500175
65,40237,180.27047,-0.78234,0.20195108588540764
66,54923,180.01164,-0.40575,0.22846390265663696
67,560204,179.65787,-0.48421,0.38018489229367325
68,535868,179.55946,-0.97831,0.2289078487204455
69,610283,179.54021,0.26613,0.24835241519457718
70,535810,179.44008,-0.90981,0.2390884774064337
71,70282,179.40308,0.12562,0.6553523393711983
72,535696,178.98112,-1.03123,0.2
73,144068,178.83194,-1.40894,0.330410714030123
74,535587,178.67285,-1.0248,0.20319759891753786
75,172283,182.1144,-2.34203,0.20196982869512142
76,131415,181.23342,-2.20006,0.21084524489950576
77,124798,181.05455,-2.64271,0.22711288509034444
78,185451,180.28326,-1.61006,0.30298456848615074
79,171754,179.80204,-2.442,0.2056070158404211
80,124486,179.72998,-2.51919,0.42619047744921645
81,130971,179.58577,-2.16315,0.25
82,171642,179.28766,-2.32283,0.24913018922766325
83,171610,179.17647,-2.30215,0.21785903097636097
84,137557,178.59895,-1.7346,0.20276267260699307
85,184873,178.38607,-1.60449,0.23494548971545134
86,99849,184.52782,1.00541,0.22736921906214488
87,289994,184.23553,1.85313,0.3326065927802746
88,289955,184.02336,1.71408,0.2
89,8825,183.98357,0.67079,0.21903827362393488
90,273411,183.52722,1.29982,0.22382163996807525
91,32675,185.70777,-1.1103,0.5271650742338682
92,586566,185.4513,-0.00764,0.244277044985952
93,32451,184.95965,-1.21324,0.25614436831065346
94,40907,183.54262,-0.64287,0.20803233881254812
95,145576,185.24293,-1.41709,0.27546501910173155
96,186538,185.04149,-1.62171,0.20855728389610215
97,179353,184.36376,-1.92032,0.29775866791824174
98,543770,212.81776,-0.95984,0.2354488844283042
99,36915,212.50763,-1.10756,0.23918385132639514
100,491505,212.1493,-1.51127,0.4296963224628938
101,543556,211.99696,-0.99252,0.5697293031713155
102,62209,211.7971,-0.3776,0.20039482787652418
103,543489,211.79616,-0.87872,0.2323668752273661
104,105409,211.61987,0.86996,0.2003108271406768
105,92769,217.53566,0.55735,0.22233148917800596
106,106562,216.62566,0.84498,0.36387617193147265
107,238924,215.66313,1.68966,0.20413622499341105
108,297271,215.26347,1.52357,0.2334990985556295
109,593852,218.0782,-0.03958,0.386318244376966
110,64041,217.95936,-0.22099,0.21307426967286572
111,593691,217.50766,-0.12318,0.34843844772447624
112,569064,217.5027,-0.42398,0.29997415430147556
113,593642,217.36261,-0.20898,0.21453555970906094
114,593348,216.21099,-0.14005,0.2961906153004456
115,568545,215.4957,-0.59009,0.35501297622726263
116,618223,214.78907,0.35939,0.26144930627646995
117,618084,214.24037,0.25186,0.2363033089949585
118,568084,213.94734,-0.60493,0.2477059722865925
119,544051,213.85437,-0.97348,0.24694962770589288
120,567904,213.62197,-0.62424,0.25731307209969967
121,567847,213.38301,-0.42463,0.2804322486070539
122,485081,213.85695,-1.89934,0.25982724543188523
123,460645,213.23176,-1.721,0.3070760437523829
124,93784,222.34209,0.60001,0.24713667672749756
125,107509,220.57657,0.84006,0.20019460832622643
126,93803,222.48917,0.55835,0.47771946551038663
127,545822,221.23193,-0.92393,0.22333960659632962
128,545688,220.57532,-0.8582,0.26158885076007404
129,594496,220.31807,-0.12858,0.208635867707598
130,64605,219.53912,-0.25711,0.2754852137945927
131,594180,219.29534,-0.09763,0.2857142857142857
132,64432,219.20163,-0.25917,0.28943538394624957
133,569382,219.03709,-0.42731,0.20007729261551097
134,64304,218.93263,-0.38782,0.281277538776015
135,69986,177.84434,0.11732,0.2612008848339674
136,31525,180.04345,-1.10169,0.2654331076236218
137,39966,179.04945,-0.663,0.2092878842494486
138,71028,182.83827,0.05214,0.21641602358941026
139,543715,212.5512,-0.87359,0.20901442808650258
140,592944,214.83871,-0.20558,0.23131078905082872
141,278121,212.98102,1.11065,0.2028204722460807
142,106630,216.75707,0.91026,0.23712365605914135
143,93310,219.92276,0.50731,0.575139057325562
144,546040,222.67732,-0.87582,0.2125226684203236
145,49252,220.38711,-0.71215,0.3162465575023383
146,136604,175.87349,-1.74167,0.31645069407057624
147,179174,183.62428,-1.91705,0.2350282993466733
148,250332,214.55497,2.11409,0.21111610036526693
149,209185,132.18426,0.16849,0.20130117496634045
150,345754,131.11854,2.06396,0.22630338463542646
151,300880,131.19021,1.06295,0.24490815698908086
152,345887,131.55479,2.08175,0.29610286083926035
153,371500,131.60379,0.87095,0.21762422904892412
154,376028,131.7503,1.33269,0.25547783750525843
155,323504,131.95081,1.53445,0.2088743620344414
156,376121,132.11778,1.39726,0.23230590420677286
157,301104,132.13335,1.22128,0.22528090393390438
158,381273,131.96808,1.82674,0.2596541376548541
159,376187,132.39557,1.43679,0.2050206698584793
160,600098,133.7682,0.38855,0.2827846385799994
161,536727,133.01946,-0.19713,0.22799491494525267
162,214951,132.35747,0.42527,0.20888530466475644
163,371601,132.01727,1.03236,0.31987644638725343
164,346438,133.69567,1.99204,0.20508611675775498
165,600421,135.49058,0.28417,0.4201886208185716
166,372012,133.85881,1.00429,0.20183120876615399
167,386974,134.74473,2.37186,0.29969711101395713
168,574423,135.75994,-0.20038,0.46433698777165006
169,372452,135.7697,1.13572,0.22209677253286028
170,600679,136.8274,0.25166,0.41928555091471326
171,600783,137.38474,0.40693,0.2540606185471285
172,377083,136.40438,1.53361,0.2717218790653733
173,382505,137.10014,2.00009,0.20051753382429724
174,324804,137.3956,1.74473,0.25652531184313354
175,324764,137.20387,1.72633,0.42275676392795647
176,324845,137.55512,1.84583,0.20374667500377328
177,324841,137.57237,1.7974,0.2727511044478095
178,218733,140.29763,0.88594,0.419585537810421
179,303010,140.29293,1.47274,0.20777496598795625
180,623682,139.86925,0.70466,0.21112638302451658
181,279877,139.81216,1.07663,0.20024126163178968
182,377863,139.25274,1.56385,0.27002027459657946
183,388153,138.90418,2.47573,0.20910527641936996
184,347904,139.56665,2.24567,0.2155577917611835
185,388522,140.49187,2.57455,0.23194685311331434
186,210948,140.52187,0.15092,0.2764442323953613
187,217016,140.85331,0.44069,0.20913083924677447
188,211035,140.92492,0.08314,0.2572519809870261
189,573870,130.45583,-0.17542,0.20192131878935277
