,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,GAMA_ID,ID,RA,DEC,SCORE,STELLAR_MASS,Z,theta_e,theta_e_H0,theta_e_Ang,f_dm,theta_e_H0_slide,theta_e_Ang_slide,f_dm_half_re,theta_e_Ang_slide_half_re,lensing_mass_half_effective_radius,theta_e_half_radius,sigma,theta_e_veldisp
15,15,15,15,345423.0,1938.0,129.35904,1.9442700000000002,42.0,379200012288.0,0.39579999446868896,1.5677138948660494,1.5677138948660494,1.4801111161324458,0.6152528845561179,1.5783794752064275,1.4901807111481529,0.5509223817377057,0.8429735088370007,327324198849.2744,0.858779184530394,276.4407129189048,1.1019655362314806
16,16,16,16,231282.0,2058.0,183.07338000000001,1.88558,58.0,343099998208.0,0.3813999891281128,1.5191146354338492,1.5191146354338492,1.4407230888636329,0.6096046930524228,1.5183453271790823,1.4399934795640823,0.5452741902340106,0.8145833234113398,288847477955.74274,0.8255373971542284,268.77769250417987,1.0417186654718735
17,17,17,17,561459.0,2187.0,183.60019,-0.53509,42.0,226399993856.0,0.24789999425411224,1.530630895082182,1.5306308950821814,1.4990684849439146,0.5861339333949563,1.4858428162178288,1.4552039597063466,0.5218034305765441,0.8231876703342984,171786170570.34326,0.8154731599589542,239.1444307711258,0.8246782610024954
18,18,18,18,165409.0,3098.0,181.19672,-2.7200900000000003,38.0,26410000384.0,0.019600000232458115,1.8592024953735524,1.8592024953735524,1.8589930200780915,0.4648298929778006,1.5871320933535156,1.5869532720766408,0.4004993901593884,0.8977163360892584,11711248452.203407,0.7730853726452779,131.94658165053477,0.2510500374158989
19,19,19,19,173045.0,534.0,185.64713999999998,-2.42117,36.0,82070003712.0,0.2556000053882599,0.9075745841018292,0.9075745841018292,0.8876090345552797,0.5288439788986121,0.8257189584221661,0.807554134214117,0.4645134760802,0.4568216035824269,48319591215.561165,0.4253274543582768,179.81496437673695,0.46624658756820336
20,20,20,20,584826.0,817.0,180.41615,-0.20731,32.0,217700007936.0,0.2494000047445297,1.4964131701658143,1.4964131701658143,1.4651602294824186,0.5839215978334632,1.4487593067297568,1.4185016281818423,0.519591095015051,0.8024256963292316,163574552650.94318,0.7931330973314109,236.52563821480163,0.806715589560602
21,21,21,21,98583.0,2369.0,178.83655,0.8845700000000001,30.0,154500005888.0,0.28279998898506165,1.1838456539939233,1.1838456539939233,1.1515770943691055,0.5645607050405379,1.1203754364292728,1.089836910185898,0.5002302022221257,0.6165048556638744,106549964793.11066,0.5972246526350772,214.79734481138937,0.6653065831979178
22,22,22,22,583457.0,3357.0,174.8049,-0.00257,28.0,98730000384.0,0.2635999917984009,0.9802173859420884,0.9802173859420884,0.9571998395674732,0.5392783880314133,0.9018522897130016,0.8806749190611121,0.4749478852130011,0.4981849658312209,60877121411.823135,0.4693938612506373,189.40010174803757,0.5172784900836319
23,23,23,23,231281.0,1822.0,183.06471000000002,1.91352,28.0,376099995648.0,0.4004000127315521,1.5522981896427137,1.5522981896427137,1.4633744445048529,0.6147894326916111,1.5619184618648214,1.4724436173048632,0.5504589298731989,0.8329398933688947,323982718834.6965,0.8481975792397455,275.803793476721,1.096893528416877
24,24,24,24,124486.0,2553.0,179.73003,-2.51895,28.0,85409996800.0,0.14350000023841858,1.2356598344239806,1.2356598344239806,1.227565392129102,0.5310961317273751,1.1269102413216392,1.119528185463088,0.4667656289089629,0.6333007773363364,50790041437.56065,0.5911692970544598,186.10243293413953,0.4994225009216007
25,25,25,25,186586.0,1180.0,185.1191,-1.5125,26.0,180999995392.0,0.28189998865127563,1.2834007265491472,1.2834007265491472,1.2486544573033318,0.5734982132956472,1.227253154010624,1.1940270013056244,0.509167710477235,0.6754436716344365,129864632219.661,0.6605120398565528,224.56789929369688,0.7272091865003146
26,26,26,26,125077.0,2922.0,182.40587,-2.63013,26.0,146000003072.0,0.3416000008583069,1.0470996851624583,1.0470996851624588,1.004424210084353,0.5613658724399211,0.9873454365682696,0.9471052988155652,0.4970353696215088,0.535763663432158,99273598890.01714,0.5172374076181178,211.40884574064864,0.6444812898352292
