,Unnamed: 0,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z,TOTAL_MASS,theta_e
4670,4670,55245,181.07958,-0.31553000000000003,0.3140544819767729,127400001536.0,0.09359999746084212,326666670605.1282,1.8686042240068208
4996,4996,560204,179.65787,-0.48421000000000003,0.3801848922936733,8501000192.0,0.0843999981880188,21797436389.743587,0.5083166349221528
5098,5098,70282,179.40308000000002,0.12562,0.6553523393711983,42560000000.0,0.10740000009536743,109128205128.20512,1.00825224309489
5278,5278,144068,178.83194,-1.4089399999999999,0.33041071403012295,23759998976.0,0.1446000039577484,60923074297.4359,0.6492464512510759
5698,5698,185451,180.28326,-1.61006,0.30298456848615074,82219999232.0,0.1079000011086464,210820510851.28204,1.3981331650837734
5772,5772,124486,179.72998,-2.51919,0.4261904774492165,85409996800.0,0.14350000023841858,218999991794.8718,1.2356598344239806
6339,6339,289994,184.23553,1.85313,0.3326065927802746,18480001024.0,0.11379999667406082,47384618010.25641,0.6454318592908709
6503,6503,32675,185.70776999999998,-1.1103,0.5271650742338682,12160000000.0,0.1459999978542328,31179487179.48718,0.4622329395699144
7579,7579,491505,212.1493,-1.5112700000000001,0.4296963224628938,1643000064.0,0.07609999924898148,4212820676.9230766,0.2353406735264873
7622,7622,543556,211.99696,-0.9925200000000001,0.5697293031713155,4737999872.0,0.08709999918937683,12148717620.51282,0.37355880285403614
7874,7874,106562,216.62566,0.84498,0.3638761719314727,89850003456.0,0.12680000066757202,230384624246.15384,1.3482485107939917
8137,8137,593852,218.0782,-0.039580000000000004,0.386318244376966,225100005376.0,0.13079999387264252,577179500964.1025,2.10113723428067
8254,8254,593691,217.50766000000002,-0.12318,0.34843844772447624,23129999360.0,0.10809999704360962,59307690666.666664,0.7408759505336228
8555,8555,568545,215.4957,-0.59009,0.35501297622726263,29980000256.0,0.050999999046325684,76871795528.20512,1.2280081813853023
9151,9151,460645,213.23176,-1.7209999999999999,0.3070760437523829,35490000896.0,0.11919999867677687,91000002297.4359,0.8739476279828734
9359,9359,93803,222.48917000000003,0.55835,0.4777194655103866,88940003328.0,0.0397999994456768,228051290584.6154,2.394294488269225
10842,10842,93310,219.92276,0.50731,0.575139057325562,30940000256.0,0.13770000636577606,79333333989.74359,0.7592131197637374
10908,10908,49252,220.38711,-0.71215,0.3162465575023383,77520003072.0,0.14749999344348907,198769238646.15384,1.1611315298251648
11076,11076,136604,175.87349,-1.74167,0.31645069407057624,286600003584.0,0.10599999874830246,734871804061.5385,2.6336356585837666
11791,11791,371601,132.01727,1.03236,0.31987644638725343,6238000128.0,0.06069999933242797,15994872123.076923,0.5134508470036695
11901,11901,600421,135.49058,0.28417,0.4201886208185716,26210000896.0,0.05649999901652336,67205130502.5641,1.090887149535772
12159,12159,574423,135.75994,-0.20038,0.4643369877716501,50789998592.0,0.053599998354911804,130230765620.51282,1.5591117348085046
12243,12243,600679,136.8274,0.25166,0.4192855509147133,3732999936.0,0.10100000351667404,9571794707.692307,0.30792065711586314
12397,12397,324764,137.20387,1.72633,0.4227567639279565,46470000640.0,0.10440000146627426,119153847794.8718,1.0685789505192347
12588,12588,218733,140.29763,0.88594,0.419585537810421,97730002944.0,0.14149999618530273,250589751138.46152,1.331086472869615
13660,13660,320551,218.67851000000002,1.7833599999999998,0.5296417151914627,13029999616.0,0.0778999999165535,33410255425.641026,0.655049321229138
13836,13836,342699,216.90174,2.1325,0.4570880393017274,28450000896.0,0.08760000020265579,72948720246.15384,0.9127663409506284
13946,13946,363319,218.85395,2.56676,0.4575320404435686,33429999616.0,0.09849999845027924,85717947733.33333,0.9330836983877917
14556,14556,522103,132.47988,2.89815,0.33803604254326697,58909999104.0,0.06030000001192092,151051279753.84616,1.5830928231484274
14626,14626,418788,137.69141000000002,2.74717,0.3430625755391247,55779999744.0,0.1436000019311905,143025640369.23077,0.9982344626459658
15275,15275,202397,129.44791999999998,-0.24408000000000002,0.3472897784548457,589400000.0,0.05220000073313713,1511282051.2820513,0.17019246924401998
15421,15421,422113,129.41517,2.59516,0.4995803715872445,20199999488.0,0.1202000007033348,51794870482.05128,0.6565895587924134
15448,15448,422228,129.93613,2.59097,0.3021404022221289,28369999872.0,0.11150000244379044,72743589415.38461,0.8079095774822103
15695,15695,573840,130.33075,-0.20663,0.3152147323080724,15160000512.0,0.13539999723434448,38871796184.61539,0.5359333811376122
