,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z
67,511430,214.16073,-1.57357,0.07655727873779555,69919997952.0,0.12409999966621399
68,460847,213.92872,-1.76747,0.06625433891316541,46340001792.0,0.09790000319480896
69,511431,214.17405,-1.65904,0.09860596138652154,91320000512.0,0.12600000202655792
70,457615,213.90093,-1.98133,0.09737549049988317,31000000512.0,0.04780000075697899
71,492031,214.44061,-1.37566,0.16823688786663862,8067999744.0,0.12240000069141388
72,492092,214.65858,-1.49911,0.03123513810894866,1906000000.0,0.05469999834895134
73,485226,214.53935,-1.85477,0.0038038056649735874,43989999616.0,0.12389999628067017
74,507763,214.46329,-1.74707,0.0699763892425417,5376999936.0,0.05460000038146973
75,507760,214.39048,-1.67353,0.19460721868261524,64619999232.0,0.13729999959468842
76,485224,214.52682,-1.8198,0.0036246312538949672,10149999616.0,0.05490000173449516
